,address,country,detailedType.subTypology,detailedType.typology,distance,district,exterior,externalReference,floor,has360,has3DTour,hasLift,hasPlan,hasVideo,latitude,longitude,municipality,neighborhood,newDevelopment,newDevelopmentFinished,numPhotos,operation,price,priceByArea,propertyCode,propertyType,province,showAddress,suggestedTexts.subtitle,suggestedTexts.title,thumbnail,url,features
0,"calle del comte d'urgell, 234",es,,garage,2106,Eixample,False,PLAZA 110 SOTANO B,,False,False,False,False,False,41.3896347,2.1488815,Barcelona,L'Antiga Esquerra de l'Eixample,False,,8,rent,142.0,,38683271,garage,Barcelona,True,"L'Antiga Esquerra de l'Eixample, Barcelona","Garaje en calle del comte d'urgell, 234",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/41/3e/02/607583401.jpg,https://www.idealista.com/inmueble/38683271/,['Cubierta']
1,"calle de tarragona, 149 -157",es,,garage,2499,Sants-Montjuïc,False,PLAZA 66 SOTANO B,,False,False,False,False,False,41.3783684,2.1448149,Barcelona,Hostafrancs,False,,13,rent,150.0,,38681477,garage,Barcelona,True,"Hostafrancs, Barcelona","Garaje en calle de tarragona, 149 -157",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/36/5b/57/607583350.jpg,https://www.idealista.com/inmueble/38681477/,['Cubierta']
2,"calle de Rocafort, 116",es,,garage,1899,Eixample,False,PLAZA MOTO SOTANO D,,False,False,False,False,False,41.3809127,2.1513318,Barcelona,La Nova Esquerra de l'Eixample,False,,2,rent,38.0,,82918245,garage,Barcelona,True,"La Nova Esquerra de l'Eixample, Barcelona","Garaje en calle de Rocafort, 116",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/71/c4/eb/607583291.jpg,https://www.idealista.com/inmueble/82918245/,['Cubierta']
3,mallorca,es,sedanCar,garage,2007,Eixample,False,02PLZGJEMALLORCA,,False,False,True,False,True,41.383536600000006,2.1494311,Barcelona,La Nova Esquerra de l'Eixample,False,,9,rent,109.0,12.0,32954188,garage,Barcelona,False,"La Nova Esquerra de l'Eixample, Barcelona",Garaje en mallorca,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/aa/26/dc/607510113.jpg,https://www.idealista.com/inmueble/32954188/,"['Plaza para coche grande', '9 m²', 'Cubierta', 'Con ascensor', ' Puerta automática de garaje ']"
4,"rambla de Volart, 12",es,sedanCar,garage,3470,Horta Guinardó,False,,,False,False,True,False,False,41.4159984,2.1793054,Barcelona,El Guinardó,False,,1,rent,100.0,8.0,82915795,garage,Barcelona,True,"El Guinardó, Barcelona","Garaje en rambla de Volart, 12",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/3d/aa/9f/607546417.jpg,https://www.idealista.com/inmueble/82915795/,[]
5,"avenida d'Espanya, 6",es,sedanCar,garage,12695,Serraparera,False,,,False,False,False,False,False,41.4948224,2.1312775,Cerdanyola del Vallès,,False,,1,rent,65.0,5.0,82914559,garage,Barcelona,True,"Serraparera, Cerdanyola del Vallès","Garaje en avenida d'Espanya, 6",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/5e/99/6d/607524033.jpg,https://www.idealista.com/inmueble/82914559/,[]
6,"VALENCIA, 500",es,carAndMotorcycle,garage,2248,Eixample,False,,,False,False,False,False,False,41.4047799,2.1795972000000003,Barcelona,La Sagrada Família,False,,4,rent,130.0,10.0,82914626,garage,Barcelona,True,"La Sagrada Família, Barcelona","Garaje en VALENCIA, 500",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/f8/28/e4/607524265.jpg,https://www.idealista.com/inmueble/82914626/,"['Plaza para coche y moto', '13 m²', 'Cubierta', ' Puerta automática de garaje ']"
7,"avenida Diagonal, 429",es,sedanCar,garage,2026,Eixample,False,,,False,False,True,False,False,41.3943974,2.1525065,Barcelona,L'Antiga Esquerra de l'Eixample,False,,3,rent,120.0,,82914148,garage,Barcelona,True,"L'Antiga Esquerra de l'Eixample, Barcelona","Garaje en avenida Diagonal, 429",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/72/8f/f1/607515723.jpg,https://www.idealista.com/inmueble/82914148/,"['Plaza para coche grande', 'Cubierta', 'Con ascensor', ' Puerta automática de garaje ', ' Alarma ', ' Cámaras de seguridad ', ' Personal de seguridad ']"
8,"calle Sepúlveda, 104",es,compactCar,garage,1414,Eixample,False,,,False,False,False,False,False,41.3797009,2.1580457,Barcelona,Sant Antoni,False,,4,rent,100.0,13.0,82913638,garage,Barcelona,True,"Sant Antoni, Barcelona","Garaje en calle Sepúlveda, 104",https://img3.idealista.com/blur/WEB_LISTING/90/id.pro.es.image.master/e0/34/8f/607506278.jpg,https://www.idealista.com/inmueble/82913638/,[]
9,gran via de les corts catalanes s/n,es,sedanCar,garage,2246,Eixample,False,,,False,False,False,False,False,41.3751072,2.1500001,Barcelona,Sant Antoni,False,,3,rent,80.0,,33767792,garage,Barcelona,True,"Sant Antoni, Barcelona",Garaje en gran via de les corts catalanes s/n,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/7f/b2/8e/152210223.jpg,https://www.idealista.com/inmueble/33767792/,"['Plaza para coche grande', 'Cubierta', ' Puerta automática de garaje ']"
10,leonardo da Vinci,es,sedanCar,garage,5931,Centre,False,,,False,False,False,False,False,41.3608781,2.1100615,Hospitalet de Llobregat,Sant Josep,False,,7,rent,100.0,8.0,82911945,garage,Barcelona,False,"Sant Josep, Hospitalet de Llobregat",Garaje en leonardo da Vinci,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/1c/4b/7c/607476946.jpg,https://www.idealista.com/inmueble/82911945/,"['Plaza para coche grande', '13 m²', 'Cubierta', ' Puerta automática de garaje ', ' Alarma ']"
11,"calle de Roger de Flor, 187",es,compactCar,garage,1705,Eixample,False,,,False,False,True,False,False,41.4002846,2.1705041,Barcelona,La Dreta de l'Eixample,False,,3,rent,90.0,,39586842,garage,Barcelona,True,"La Dreta de l'Eixample, Barcelona","Garaje en calle de Roger de Flor, 187",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/b3/b8/a5/262682137.jpg,https://www.idealista.com/inmueble/39586842/,[]
12,"calle Milanesat, 12",es,sedanCar,garage,3952,Sarrià-Sant Gervasi,False,,,False,False,False,False,False,41.3970339,2.1287612,Barcelona,Les Tres Torres,False,,2,rent,100.0,,30537514,garage,Barcelona,True,"Les Tres Torres, Barcelona","Garaje en calle Milanesat, 12",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/f8/59/56/102035402.jpg,https://www.idealista.com/inmueble/30537514/,"['Plaza para coche grande', 'Cubierta']"
13,paseo de Maragall,es,sedanCar,garage,3088,Sant Martí,False,04407,bj,False,False,False,False,False,41.4119893,2.1826724,Barcelona,El Camp de l'Arpa del Clot,False,,2,rent,105.0,9.0,82909249,garage,Barcelona,False,"El Camp de l'Arpa del Clot, Barcelona",Garaje en paseo de Maragall,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/66/9d/57/607399636.jpg,https://www.idealista.com/inmueble/82909249/,[]
14,"baixada de Can Mateu, 27",es,compactCar,garage,4938,Horta Guinardó,False,,,False,False,False,False,False,41.42843720000001,2.1604319,Barcelona,Horta,False,,3,rent,90.0,,82908201,garage,Barcelona,True,"Horta, Barcelona","Garaje en baixada de Can Mateu, 27",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/84/aa/0e/607372954.jpg,https://www.idealista.com/inmueble/82908201/,"['Plaza para coche pequeño', 'Cubierta', ' Puerta automática de garaje ']"
15,"calle de Felip II, 51",es,sedanCar,garage,3973,Sant Andreu,False,,,False,False,False,False,False,41.4189817,2.1885382,Barcelona,Navas,False,,4,rent,85.0,9.0,82907717,garage,Barcelona,True,"Navas, Barcelona","Garaje en calle de Felip II, 51",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/32/41/be/607366552.jpg,https://www.idealista.com/inmueble/82907717/,"['Plaza para coche grande', '9,5 m²', ' Puerta automática de garaje ']"
16,"via Augusta, 312",es,sedanCar,garage,4076,Sarrià-Sant Gervasi,False,,,False,False,True,False,False,41.39766029999999,2.1274831,Barcelona,Sarrià,False,,3,rent,110.0,10.0,82907169,garage,Barcelona,True,"Sarrià, Barcelona","Garaje en via Augusta, 312",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/aa/24/8e/607355592.jpg,https://www.idealista.com/inmueble/82907169/,"['Plaza para coche grande', '11 m²', 'Cubierta', 'Con ascensor', ' Puerta automática de garaje ', ' Alarma ', ' Cámaras de seguridad ', ' Personal de seguridad ']"
17,"calle de las Navas de Tolosa, 350",es,motorcycle,garage,3853,Sant Andreu,False,,,False,False,False,False,False,41.4191679,2.1819122,Barcelona,Navas,False,,2,rent,35.0,,29000885,garage,Barcelona,True,"Navas, Barcelona","Garaje en calle de las Navas de Tolosa, 350",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/45/80/c7/84345962.jpg,https://www.idealista.com/inmueble/29000885/,"['Plaza para moto', 'Cubierta', ' Puerta automática de garaje ']"
18,"calle de Jordi de Sant Jordi, 31",es,compactCar,garage,4251,Sant Andreu,False,,,False,False,False,True,False,41.4226907,2.1827541,Barcelona,El Congrés i els Indians,False,,5,rent,100.0,9.0,82901840,garage,Barcelona,True,"El Congrés i els Indians, Barcelona","Garaje en calle de Jordi de Sant Jordi, 31",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/fb/d9/66/607264231.jpg,https://www.idealista.com/inmueble/82901840/,"['Plaza para coche pequeño', '10,6 m²', 'Cubierta', ' Puerta automática de garaje ']"
19,"riera Basté, 14",es,sedanCar,garage,12204,Marianao,False,,,False,False,False,False,False,41.34701,2.03623,Sant Boi de Llobregat,,False,,5,rent,70.0,8.0,82906718,garage,Barcelona,True,"Marianao, Sant Boi de Llobregat","Garaje en riera Basté, 14",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/a2/42/6e/607348350.jpg,https://www.idealista.com/inmueble/82906718/,[]
20,"calle de Felipe de Paz, Barcelona, 13",es,sedanCar,garage,4031,Les Corts,False,BCN_0113,,False,False,True,False,False,41.3791045,2.1257383,Barcelona,La Maternitat i Sant Ramon,False,,6,rent,120.0,11.0,82906619,garage,Barcelona,True,"La Maternitat i Sant Ramon, Barcelona","Garaje en calle de Felipe de Paz, Barcelona, 13",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/87/0b/84/607345545.jpg,https://www.idealista.com/inmueble/82906619/,"['Plaza para coche grande', '11 m²', 'Cubierta', 'Con ascensor', ' Puerta automática de garaje ', ' Alarma ']"
21,"calle de Pere IV, 346",es,sedanCar,garage,3604,Sant Martí,False,2608,,False,False,True,True,True,41.4090274,2.2025655,Barcelona,Provençals del Poblenou,False,,19,rent,120.0,10.0,39595735,garage,Barcelona,True,"Provençals del Poblenou, Barcelona","Garaje en calle de Pere IV, 346",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/2a/95/f7/262856580.jpg,https://www.idealista.com/inmueble/39595735/,"['Plaza para coche grande', '12 m²', 'Cubierta', 'Con ascensor', ' Puerta automática de garaje ']"
22,"calle de la Flor de Neu, 1",es,compactCar,garage,6646,Nou Barris,False,,,False,False,False,False,False,41.44413,2.1859499,Barcelona,La Prosperitat,False,,1,rent,70.0,,82897683,garage,Barcelona,True,"La Prosperitat, Barcelona","Garaje en calle de la Flor de Neu, 1",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/c9/dc/5c/607187311.jpg,https://www.idealista.com/inmueble/82897683/,[]
23,"pasaje Isabel Aunion, 2",es,sedanCar,garage,8980,El Pedró,False,,,False,False,True,False,False,41.3600987,2.0710636,Cornellà de Llobregat,,False,,5,rent,80.0,6.0,82902045,garage,Barcelona,True,"El Pedró, Cornellà de Llobregat","Garaje en pasaje Isabel Aunion, 2",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/87/b4/d2/607271523.jpg,https://www.idealista.com/inmueble/82902045/,"['Plaza para coche grande', '13 m²', 'Cubierta', 'Con ascensor', ' Cámaras de seguridad ']"
24,"calle de Milà i Fontanals, Barcelona, 74",es,sedanCar,garage,2215,Gràcia,False,mila 1,,False,False,True,True,False,41.4026433,2.1608184,Barcelona,Vila de Gràcia,False,,4,rent,125.0,,82901617,garage,Barcelona,True,"Vila de Gràcia, Barcelona","Garaje en calle de Milà i Fontanals, Barcelona, 74",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/80/f3/ef/607257165.jpg,https://www.idealista.com/inmueble/82901617/,"['Plaza para coche grande', 'Cubierta', 'Con ascensor', ' Puerta automática de garaje ']"
25,calle Villarruel y Mallorca s/n,es,carAndMotorcycle,garage,1641,Eixample,False,,,False,False,True,False,False,41.3873338,2.1539501,Barcelona,L'Antiga Esquerra de l'Eixample,False,,2,rent,140.0,8.0,82881852,garage,Barcelona,True,"L'Antiga Esquerra de l'Eixample, Barcelona",Garaje en calle Villarruel y Mallorca s/n,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/f4/53/7d/606986089.jpg,https://www.idealista.com/inmueble/82881852/,[]
26,Coll Favà - Can Magí,es,compactCar,garage,12992,Coll Favà - Can Magí,False,06018,,False,False,,False,False,41.4776147,2.0782033,Sant Cugat del Vallès,,False,,6,rent,60.0,10.0,82899519,garage,Barcelona,False,"Coll Favà - Can Magí, Sant Cugat del Vallès",Garaje,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/3b/4f/bb/607219686.jpg,https://www.idealista.com/inmueble/82899519/,[]
27,"avenida Diagonal, Barcelona",es,sedanCar,garage,1499,Eixample,False,TFJTpkd3,,False,False,True,False,False,41.3985509,2.1747607,Barcelona,El Fort Pienc,False,,5,rent,110.0,9.0,82899246,garage,Barcelona,False,"El Fort Pienc, Barcelona","Garaje en avenida Diagonal, Barcelona",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/2d/0e/35/607216827.jpg,https://www.idealista.com/inmueble/82899246/,[]
28,"calle Padilla, Barcelona, 237",es,sedanCar,garage,2215,Eixample,False,,,False,False,True,False,False,41.4046803,2.178301,Barcelona,La Sagrada Família,False,,5,rent,96.0,8.0,82897854,garage,Barcelona,True,"La Sagrada Família, Barcelona","Garaje en calle Padilla, Barcelona, 237",https://img3.idealista.com/blur/WEB_LISTING/90/id.pro.es.image.master/5c/e3/60/607190904.jpg,https://www.idealista.com/inmueble/82897854/,"['Plaza para coche grande', '12 m²', 'Con ascensor', ' Puerta automática de garaje ', ' Cámaras de seguridad ']"
29,"avenida Pau Casals, 146",es,carAndMotorcycle,garage,6437,Centre,False,,,False,False,True,False,False,41.3542428,2.1081196,Hospitalet de Llobregat,Carretera del Mig,False,,1,rent,40.0,5.0,82896087,garage,Barcelona,True,"Carretera del Mig, Hospitalet de Llobregat","Garaje en avenida Pau Casals, 146",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/eb/1b/a6/607159172.jpg,https://www.idealista.com/inmueble/82896087/,"['Plaza para coche y moto', '8,6 m²', 'Cubierta', 'Con ascensor', ' Puerta automática de garaje ']"
30,"calle de València, 3",es,sedanCar,garage,2474,Eixample,False,,,False,False,True,False,False,41.37987620000001,2.1445736,Barcelona,La Nova Esquerra de l'Eixample,False,,2,rent,95.0,,82895714,garage,Barcelona,True,"La Nova Esquerra de l'Eixample, Barcelona","Garaje en calle de València, 3",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/71/3a/bd/607152585.jpg,https://www.idealista.com/inmueble/82895714/,"['Plaza para coche grande', 'Cubierta', 'Con ascensor', ' Puerta automática de garaje ', ' Alarma ', ' Cámaras de seguridad ', ' Personal de seguridad ']"
31,"calle de Sant Fructuós, 82",es,motorcycle,garage,3050,Sants-Montjuïc,False,,,False,False,False,False,False,41.369502,2.143318,Barcelona,La Font de la Guatlla,False,,5,rent,30.0,,82895794,garage,Barcelona,True,"La Font de la Guatlla, Barcelona","Garaje en calle de Sant Fructuós, 82",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/0d/b7/b5/607153194.jpg,https://www.idealista.com/inmueble/82895794/,"['Plaza para moto', 'Cubierta', ' Puerta automática de garaje ']"
32,"calle Morabos, 2",es,carAndMotorcycle,garage,2581,Sants-Montjuïc,False,MORABOS,,False,False,False,False,False,41.3718003,2.1480356,Barcelona,La Font de la Guatlla,False,,1,rent,90.0,,25580502,garage,Barcelona,True,"La Font de la Guatlla, Barcelona","Garaje en calle Morabos, 2",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/a5/a7/1c/31853032.jpg,https://www.idealista.com/inmueble/25580502/,[]
33,"plaza del Doctor Letamendi, 13 -17",es,sedanCar,garage,1185,Eixample,False,,,False,False,True,False,False,41.3888595,2.1601033,Barcelona,L'Antiga Esquerra de l'Eixample,False,,3,rent,130.0,23.0,82894605,garage,Barcelona,True,"L'Antiga Esquerra de l'Eixample, Barcelona","Garaje en plaza del Doctor Letamendi, 13 -17",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/8a/45/5f/607131479.jpg,https://www.idealista.com/inmueble/82894605/,[]
34,"calle de Leonardo da Vinci, 16",es,carAndMotorcycle,garage,5768,Centre,False,,,False,False,False,False,False,41.3623477,2.1112625,Hospitalet de Llobregat,Sant Josep,False,,6,rent,60.0,5.0,82894328,garage,Barcelona,True,"Sant Josep, Hospitalet de Llobregat","Garaje en calle de Leonardo da Vinci, 16",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/14/4f/35/607126401.jpg,https://www.idealista.com/inmueble/82894328/,[]
35,"calle Amadeu Vives, 4",es,carAndMotorcycle,garage,12701,,False,,,False,False,False,False,False,41.40695520000001,2.0239307,Molins de Rei,,False,,1,rent,70.0,6.0,82893570,garage,Barcelona,True,Molins de Rei,"Garaje en calle Amadeu Vives, 4",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/7e/8b/ff/607113136.jpg,https://www.idealista.com/inmueble/82893570/,[]
36,"calle de la Ciutat de Granada, 44",es,motorcycle,garage,2538,Sant Martí,False,,,False,False,True,False,False,41.3983671,2.1981657,Barcelona,El Poblenou,False,,1,rent,30.0,,28599513,garage,Barcelona,True,"El Poblenou, Barcelona","Garaje en calle de la Ciutat de Granada, 44",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/96/e9/84/75671359.jpg,https://www.idealista.com/inmueble/28599513/,[]
37,"calle de la Duquessa d'Orleans, 19",es,compactCar,garage,4661,Sarrià-Sant Gervasi,False,,,False,False,False,False,False,41.3979096,2.1201894,Barcelona,Sarrià,False,,3,rent,65.0,,39955594,garage,Barcelona,True,"Sarrià, Barcelona","Garaje en calle de la Duquessa d'Orleans, 19",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/d5/aa/0e/607109008.jpg,https://www.idealista.com/inmueble/39955594/,"['Plaza para coche pequeño', 'Cubierta', ' Puerta automática de garaje ']"
38,"calle del Pedraforca, 80",es,sedanCar,garage,8640,Nou Barris,False,,,False,False,False,False,False,41.4627923,2.1757774,Barcelona,Ciutat Meridiana - Torre Baró - Vallbona,False,,5,rent,100.0,9.0,82892966,garage,Barcelona,True,"Ciutat Meridiana - Torre Baró - Vallbona, Barcelona","Garaje en calle del Pedraforca, 80",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/5a/d7/1b/607106549.jpg,https://www.idealista.com/inmueble/82892966/,[]
39,"calle de Mallorca, 123",es,sedanCar,garage,1712,Eixample,False,,,False,False,False,False,False,41.38711110000001,2.1530437,Barcelona,L'Antiga Esquerra de l'Eixample,False,,1,rent,130.0,,82892384,garage,Barcelona,True,"L'Antiga Esquerra de l'Eixample, Barcelona","Garaje en calle de Mallorca, 123",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/81/9b/e6/607095550.jpg,https://www.idealista.com/inmueble/82892384/,"['Plaza para coche grande', 'Cubierta', ' Puerta automática de garaje ']"
40,"calle Sicília, 221",es,sedanCar,garage,1832,Eixample,False,,,False,False,False,False,False,41.4015795,2.1733325,Barcelona,La Sagrada Família,False,,2,rent,115.0,,26881857,garage,Barcelona,True,"La Sagrada Família, Barcelona","Garaje en calle Sicília, 221",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/58/cf/16/47900501.jpg,https://www.idealista.com/inmueble/26881857/,[]
41,"calle de muntaner, 200",es,compactCar,garage,2036,Eixample,False,,,False,False,True,False,False,41.392880700000006,2.1512992000000004,Barcelona,L'Antiga Esquerra de l'Eixample,False,,1,rent,120.0,,31168294,garage,Barcelona,True,"L'Antiga Esquerra de l'Eixample, Barcelona","Garaje en calle de muntaner, 200",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/6b/7a/aa/112716449.jpg,https://www.idealista.com/inmueble/31168294/,[]
42,"pau claris, 138",es,sedanCar,garage,1140,Eixample,False,Massimo,,False,False,True,False,False,41.3937931,2.1661472,Barcelona,La Dreta de l'Eixample,False,,5,rent,130.0,,37515581,garage,Barcelona,True,"La Dreta de l'Eixample, Barcelona","Garaje en pau claris, 138",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/30/0a/80/219463805.jpg,https://www.idealista.com/inmueble/37515581/,[]
43,"calle de còrsega, 54  / 56",es,carAndMotorcycle,garage,2511,Eixample,False,massimo,,False,False,True,False,False,41.3842783,2.1433185000000003,Barcelona,La Nova Esquerra de l'Eixample,False,,11,rent,125.0,10.0,33164831,garage,Barcelona,True,"La Nova Esquerra de l'Eixample, Barcelona","Garaje en calle de còrsega, 54  / 56",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/3c/c7/d0/143065334.jpg,https://www.idealista.com/inmueble/33164831/,"['Plaza para coche y moto', '12 m²', 'Cubierta', 'Con ascensor', ' Puerta automática de garaje ', ' Alarma ', ' Cámaras de seguridad ']"
44,"sepúlveda, 58",es,sedanCar,garage,1752,Eixample,False,massimo,,False,False,False,False,False,41.3774448,2.1550412,Barcelona,Sant Antoni,False,,7,rent,125.0,,33302165,garage,Barcelona,True,"Sant Antoni, Barcelona","Garaje en sepúlveda, 58",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/62/3b/a8/145146266.jpg,https://www.idealista.com/inmueble/33302165/,"['Plaza para coche grande', 'Cubierta', ' Puerta automática de garaje ', ' Alarma ', ' Cámaras de seguridad ', ' Personal de seguridad ']"
45,"calle de lluçà, 3",es,sedanCar,garage,3534,Les Corts,False,,,False,False,False,False,False,41.3810461,2.1313761,Barcelona,Les Corts,False,,13,rent,125.0,,33165101,garage,Barcelona,True,"Les Corts, Barcelona","Garaje en calle de lluçà, 3",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/ec/92/ef/170751886.jpg,https://www.idealista.com/inmueble/33165101/,"['Plaza para coche grande', '12 m²', 'Cubierta', ' Puerta automática de garaje ', ' Alarma ', ' Cámaras de seguridad ', ' Personal de seguridad ']"
46,"eduard Marquina, 3",es,sedanCar,garage,10538,Casagemes - Canyadó,False,Parking Eduard Marquina (Badalona),,False,False,True,False,False,41.4561673,2.2570198,Badalona,,False,,4,rent,100.0,,35095087,garage,Barcelona,True,"Casagemes - Canyadó, Badalona","Garaje en eduard Marquina, 3",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/29/bd/b2/174802304.jpg,https://www.idealista.com/inmueble/35095087/,[]
47,"calle de Provença, 183",es,sedanCar,garage,1573,Eixample,False,,,False,False,False,False,False,41.3911764,2.1563631,Barcelona,L'Antiga Esquerra de l'Eixample,False,,0,rent,120.0,,82922361,garage,Barcelona,True,"L'Antiga Esquerra de l'Eixample, Barcelona","Garaje en calle de Provença, 183",,https://www.idealista.com/inmueble/82922361/,[]
48,"gran Via de les Corts Catalanes, 414",es,sedanCar,garage,1968,Eixample,False,,,False,False,False,False,False,41.37711289999999,2.1523392999999995,Barcelona,Sant Antoni,False,,0,rent,110.0,10.0,82919213,garage,Barcelona,True,"Sant Antoni, Barcelona","Garaje en gran Via de les Corts Catalanes, 414",,https://www.idealista.com/inmueble/82919213/,"['Plaza para coche grande', '11 m²', ' Puerta automática de garaje ']"
49,"calle de l'Encarnació, 111",es,compactCar,garage,2719,Gràcia,False,,,False,False,False,False,False,41.4082658,2.1629264,Barcelona,El Camp d'En Grassot i Gràcia Nova,False,,0,rent,70.0,7.0,82914517,garage,Barcelona,True,"El Camp d'En Grassot i Gràcia Nova, Barcelona","Garaje en calle de l'Encarnació, 111",,https://www.idealista.com/inmueble/82914517/,"['Plaza para coche pequeño', '10 m²', 'Cubierta', ' Puerta automática de garaje ']"
50,"avenida de mistral, 50",es,,garage,1870,Eixample,False,PLAZA 3 SOTANO A,,False,False,False,False,False,41.3762259,2.1543511000000004,Barcelona,Sant Antoni,False,,3,rent,100.0,,39481681,garage,Barcelona,True,"Sant Antoni, Barcelona","Garaje en avenida de mistral, 50",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/67/97/22/260698200.jpg,https://www.idealista.com/inmueble/39481681/,[]
51,calle de Còrsega,es,compactCar,garage,2043,Gràcia,False,3665,,False,False,False,False,False,41.4010777,2.1612841,Barcelona,Vila de Gràcia,False,,3,rent,145.0,16.0,82338683,garage,Barcelona,False,"Vila de Gràcia, Barcelona",Garaje en calle de Còrsega,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/b8/93/f8/596117957.jpg,https://www.idealista.com/inmueble/82338683/,"['Plaza para coche pequeño', '9 m²']"
52,"mallorca, 376",es,sedanCar,garage,1819,Eixample,False,,,False,False,False,False,False,41.4014632,2.1728723,Barcelona,La Sagrada Família,False,,8,rent,100.0,,81587940,garage,Barcelona,True,"La Sagrada Família, Barcelona","Garaje en mallorca, 376",https://img3.idealista.com/blur/WEB_LISTING/90/id.pro.es.image.master/fd/68/da/580105301.jpg,https://www.idealista.com/inmueble/81587940/,['Plaza para coche grande']
53,"calle de Bailèn, 67",es,,garage,1142,Eixample,False,PLAZA 239 SOTANO C,,False,False,False,False,False,41.3953519,2.1725046000000003,Barcelona,La Dreta de l'Eixample,False,,3,rent,90.0,,81940656,garage,Barcelona,True,"La Dreta de l'Eixample, Barcelona","Garaje en calle de Bailèn, 67",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/44/a0/a8/588128285.jpg,https://www.idealista.com/inmueble/81940656/,[]
54,"calle de Bailèn, 67",es,,garage,1142,Eixample,False,PLAZA 174 SOTANO C,,False,False,False,False,False,41.3953519,2.1725046000000003,Barcelona,La Dreta de l'Eixample,False,,3,rent,90.0,,81940657,garage,Barcelona,True,"La Dreta de l'Eixample, Barcelona","Garaje en calle de Bailèn, 67",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/60/67/fc/588128288.jpg,https://www.idealista.com/inmueble/81940657/,['Cubierta']
55,"calle de Bailèn, 67",es,,garage,1142,Eixample,False,PLAZA 199 SOTANO C,,False,False,False,False,False,41.3953519,2.1725046000000003,Barcelona,La Dreta de l'Eixample,False,,3,rent,90.0,,81940658,garage,Barcelona,True,"La Dreta de l'Eixample, Barcelona","Garaje en calle de Bailèn, 67",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/50/75/c3/588128291.jpg,https://www.idealista.com/inmueble/81940658/,['Cubierta']
